Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
100 block Hickock Av,,,1,,,,,1
100 block Hickok Av,,,,1,,,,1
100 block Hier Av,,,1,,,,,1
100 block Highland Av,1,,,2,,,,3
100 block Hillsdale Av,,,1,,,,,1
100 block Hixson Av,,,,1,,,,1
100 block Hobart Av,,,,1,,,,1
100 block Holden St,,,,1,,,1,2
100 block Holland St,1,,1,,,,,2
100 block Homecroft Av,,,,1,,,,1
100 block Hood Av,,,,1,,,1,2
100 block Hope Av,,,1,1,,,,2
100 block Hopper Rd,,,,1,,,,1
100 block Houston Av,,,,1,,,,1
100 block Hudson Av,1,,,,,,,1
100 block Hudson St,1,,1,1,,,,3
100 block Hunter Av,1,,,,,,,1
100 block Huntley St,,,,1,,,,1
100 block Hurlburt Rd,,,,1,,,,1
100 block Huron St,,,1,,,,,1
100 block Interpid Ln,,,,1,,,,1
100 block Intrepid Ln,,,1,,,,,1
100 block Isabella St,,,1,,,,,1
100 block Ivy Ridge Rd,1,,,,,,,1
100 block Jaclyn Dr,,,,1,,,,1
100 block Jamesville Av,,,1,3,,,,4
100 block Janet Dr,,,,1,,,,1
100 block Jasper Pl,,,1,,,,,1
100 block Jasper St,,,,2,,1,1,4
100 block John St,1,,6,6,,,1,14
100 block Josephine St,,,,1,,1,,2
100 block Kappesser St,1,,,1,,,,2
100 block Keen Pl,,,1,,,,,1
100 block Kellogg St,,,2,2,,,,4
100 block Kenmore Av,,,1,,,,,1
100 block Kensington Rd,,,,1,,,,1
100 block Kenwood Av,,,1,,,,,1
100 block Kimber Av,,,,1,,,1,2
100 block Kincaid Av,,,,1,,,,1
100 block Kirk Av,,,,1,,,,1
100 block Kuhl Av,,,,1,,,,1
100 block Lafayette Rd,,,8,10,,,,18
100 block Lakeview Av,2,,3,1,,1,,7
100 block Latimer Ter,,,,2,,,,2
100 block Latter Dr,,,1,,,,,1
100 block Lawrence St,,,1,2,,,1,4
100 block Leavenworth Av,,,,1,,,,1
100 block Lewis St,,,1,,,,,1
100 block Lexington Av,,,,2,,,,2
100 block Light Ct,1,,,1,,,,2
100 block Lilac St,,,2,,,,1,3
100 block Lillian Av,,,1,,,,,1
100 block Lincoln Av,,,,1,,,,1
100 block Lindwell Ter,1,,,,,,,1
100 block Linwell Ter,,,1,1,,,,2
100 block Linwill Ter,,,2,,,,,2
100 block Lodi St,1,,,,,,,1
100 block Loehr Av,1,,,,,,,1
100 block Loma Av,,,,1,,,,1
100 block Lorraine Av,,,1,,,,,1
100 block Luddington St,,,,2,,,,2
100 block Lynn Cir,,,2,1,,,,3
100 block Lynwood Av,,,,1,,,1,2
100 block Madison St,,,,2,,,,2
100 block Mains Av,,,,,,,1,1
100 block Manilla St,,,,1,,,,1
100 block Manor Dr,,,,1,,,,1
100 block Maple Ter,1,,1,,,,,2
100 block Maplehurst Av,,,,2,,,,2
100 block Maplewood Av,,,2,1,,,,3
100 block Marjorie St,,,1,,,,,1
100 block Mark Av,,,1,1,,,,2
100 block Markland Av,,,1,,,,,1
100 block Marlborough Rd,,,1,,,,,1
100 block Marshall St,1,,,8,,,1,10
100 block Martin Luther King   W,1,,1,,,,,2
100 block Mary St,3,,1,4,,,,8
100 block Mather St,1,1,1,2,,,1,6
100 block Maurice Av,1,,2,3,,,,6
100 block Maxwell Av,,,1,,,,,1
100 block Mayar St,,,1,1,,,,2
100 block Mcallister Av,,,1,2,,1,,4
100 block Mcclure Av,1,,,,,,,1
100 block Mccormick Av,,,,2,,,,2
100 block Mclennan Av,,,,1,,,,1
100 block Meadowbrook Dr,,,1,1,,,,2
100 block Medora Pl,,,1,,,,,1
100 block Melbourne Av,,,2,1,,,,3
100 block Merrill St,,,1,,,,,1
100 block Merriman Av,,,3,4,,3,,10
100 block Merritt Av,1,,1,,,,,2
100 block Michaels Av,,,,2,,,,2
100 block Milburn Dr,,,,1,,,,1
100 block Mildred Av,,,,1,,,,1
100 block Miles Av,,,1,3,,,,4
100 block Milford Ct,,,,1,,,,1
100 block Milnor Av,1,,,,,,,1
100 block Minerva St,1,,,2,,,,3
100 block Monroe St,,,,,,,1,1
100 block Montgomery St,,,,4,,2,,6
100 block Monticello Dr,,,1,,,,,1
100 block Monticello Dr  S,,,,1,,,,1
100 block Mosley Dr,,,2,,,,,2
100 block Murray Av,1,,1,1,,,1,4
100 block N Collingwood Av,,,,2,,,,2
100 block N Edwards Av,,,,2,,,,2
100 block N Geddes St,1,,1,1,,,1,4
100 block N Lorraine Av,,,,1,,,,1
100 block N Lowell Av,,,,2,,,,2
100 block N Midler Av,1,,,1,,,,2
100 block N Salina St,,,,3,,,1,4
100 block N Townsend Pl,,,1,,,,,1
100 block N Townsend St,,,,1,,,,1
100 block N Wilbur Av,,,1,,,,,1
100 block Nelson St,3,,2,1,,,,6
100 block Neutral Ct,1,,1,,,,,2
100 block New St,,,,4,,,,4
100 block Newbury Hollow Ln,,,,3,,,,3
100 block Nichols Av,,,,3,,,,3
100 block Niven St,,,,1,,,,1
100 block Normanor Dr,,,,2,,,,2
100 block Northcliffe Rd,,,,,,,1,1
100 block Oak Pl,,,,1,,,,1
100 block Oak St,3,,1,,,,,4
100 block Oakwood Av,,,,1,,,,1
100 block Onondaga Av,,,,2,,,,2
100 block Onondaga St,,,,1,,,,1
100 block Otisco St,,,,1,,,,1
100 block Park Av,,,1,,,,,1
100 block Park St,,,1,,,,,1
100 block Parkside Av,,,1,1,,,,2
100 block Parkview Av,,,,1,,,,1
100 block Parkway Dr,,,2,,,,,2
100 block Paul Av,,,,2,,,,2
100 block Peck Av,,,,3,,,1,4
100 block Penta Dr,1,,,,,,,1
100 block Pershing Av,,,,1,,,,1
100 block Peters St,,,,2,,1,,3
100 block Pharis St,,,1,,,,,1
100 block Phillips Rd,1,,,,,,,1
100 block Pleasantview Av,,,,2,,,,2
100 block Plum St,,,,1,,,,1
100 block Plymouth Dr,,,,2,,,,2
100 block Polk St,1,,1,4,,,,6
100 block Pond St,,,,,,1,,1
100 block Putnam St,1,,,,,,,1
100 block Radisson Ct,1,,1,,,,,2
100 block Raymond Av,,,1,,,,,1
100 block Redfield Pl,,,,2,,,,2
100 block Reed Av,,,1,,,,,1
100 block Remington Av,,,2,3,,,1,6
100 block Richardson Av,1,,1,3,,,,5
100 block Richmond Av,,,,1,,,,1
100 block Ridgeway Av,,,1,1,,,,2
100 block Rigi Av,,,,1,,,,1
100 block Riverdale Dr,2,,1,1,,1,,5
100 block Roberts Av,,,,2,,,,2
100 block Robinson St,,,1,,,,,1
100 block Rockland Av,,,1,,,,,1
100 block Rockwood Rd,,,,1,,,,1
100 block Roney Ln,3,2,6,4,,,1,16
100 block Roney Rd,1,,,,,,,1
